County,Year,Voluntary Market - Number of New Policies,Voluntary Market - Number of Renewed Policies,Voluntary Market - Number of Non-Renewed Policies Insured-Initiated,Voluntary Market - Number of Non-Renewed Policies Insurer-Initiated,California FAIR Plan - Number of New Policies,California FAIR Plan - Number of Renewed Policies
State,2020,1063508,7642354,788599,212727,77650,163816
,2019,1104372,7518855,781815,235597,75247,117170
,2018,979638,7546700,749179,165008,23049,117398
,2017,978576,7510275,751807,166285,22017,118295
,2016,966610,7476478,738436,178315,22643,118549
,2015,944639,7412985,717522,182059,22740,118651
ALAMEDA,2020,37990,319304,30211,5700,768,1868
,2019,37783,316308,30284,4668,608,1669
,2018,36560,315219,29738,4598,275,1865
,2017,36017,314523,29021,4673,274,1955
,2016,35492,311836,28047,5604,260,2081
,2015,35330,309688,28307,5410,298,2201
ALPINE,2020,110,571,78,35,68,79
,2019,138,521,56,44,58,32
,2018,66,566,50,11,8,22
,2017,64,569,50,13,13,13
,2016,40,582,41,20,9,9
,2015,51,589,37,20,8,3
AMADOR,2020,2717,12131,1640,798,1290,2121
,2019,3591,10740,1303,1261,2074,345
,2018,1662,11796,1088,442,204,143
,2017,1192,12114,993,425,92,86
,2016,1157,12456,1043,450,67,53
,2015,1141,12816,1042,412,46,31
BUTTE,2020,8918,51023,7537,2847,1728,1501
,2019,8543,54125,9916,2635,1486,418
,2018,7691,57755,6130,1517,198,239
,2017,7176,57257,5649,1705,135,164
,2016,7463,57430,5357,1859,127,94
,2015,6793,57774,5177,1629,88,42
CALAVERAS,2020,3984,18878,2503,1499,2538,3276
,2019,4911,17401,2122,1835,2984,645
,2018,2497,19130,1907,667,309,323
,2017,2062,19717,1824,736,256,166
,2016,2005,20205,1745,681,113,101
,2015,1941,20790,1810,686,66,66
COLUSA,2020,594,4376,428,142,3,10
,2019,557,4298,422,111,5,8
,2018,566,4284,401,134,2,8
,2017,568,4290,416,165,1,8
,2016,550,4300,406,168,5,5
,2015,546,4296,380,163,-,5
CONTRA COSTA,2020,35786,269283,28074,5503,328,754
,2019,33234,268032,26462,4644,234,695
,2018,32463,266791,26467,4005,160,701
,2017,32738,265821,26018,4319,129,745
,2016,32395,263508,25374,4731,156,763
,2015,32004,260798,25212,4831,138,819
DEL NORTE,2020,909,6540,667,241,37,38
,2019,907,6490,583,254,25,19
,2018,870,6517,623,206,8,13
,2017,828,6381,583,242,9,12
,2016,842,6335,559,173,5,13
,2015,780,6378,581,240,7,8
EL DORADO,2020,14521,60916,8664,4908,6280,7206
,2019,15165,57793,7147,5499,6799,1407
,2018,8949,61465,6190,2103,863,580
,2017,7703,62400,5982,1648,351,380
,2016,7521,62603,5866,1635,217,299
,2015,7010,63109,5639,1885,205,197
FRESNO,2020,29127,193616,21291,5160,1349,1580
,2019,29709,189919,22217,4648,1146,698
,2018,27905,187996,21419,4057,170,668
,2017,27466,187725,21146,4540,139,641
,2016,26041,186438,19551,4769,120,645
,2015,25238,183376,18697,4714,130,641
GLENN,2020,749,6009,570,172,6,10
,2019,777,5925,644,157,4,7
,2018,765,5902,525,151,-,8
,2017,693,5893,512,202,-,10
,2016,754,5845,546,175,-,10
,2015,725,5847,525,162,-,11
HUMBOLDT,2020,4275,36347,3186,953,506,394
,2019,4422,35688,3180,1086,322,168
,2018,3863,36068,2875,801,65,107
,2017,3604,36068,2858,777,65,82
,2016,3495,36109,2766,775,51,58
,2015,3512,36038,2599,815,28,48
IMPERIAL,2020,3780,28822,2485,1678,42,239
,2019,3833,28410,2766,906,57,233
,2018,3424,28118,2579,857,54,231
,2017,3667,27939,2615,888,27,238
,2016,3554,28043,2412,898,58,243
,2015,3413,27885,2299,914,67,227
INYO,2020,597,5433,450,145,11,34
,2019,576,5402,443,142,8,28
,2018,586,5373,392,118,7,30
,2017,555,5266,407,117,7,30
,2016,508,5321,365,125,11,27
,2015,475,5360,328,108,8,24
KERN,2020,31929,189244,22417,7253,1683,2625
,2019,32410,186126,22214,7479,1190,1941
,2018,29902,185266,21718,5724,572,1913
,2017,29938,183189,22045,6018,611,1866
,2016,29739,180425,20892,6260,523,1769
,2015,27301,171050,18961,6089,514,1722
KINGS,2020,3864,26646,2891,742,11,19
,2019,4020,26095,2919,629,14,18
,2018,3671,25680,2650,628,10,22
,2017,3498,25636,2601,672,8,23
,2016,3663,25159,2392,820,12,21
,2015,3635,24558,2366,995,3,22
LAKE,2020,3313,21500,2470,953,631,705
,2019,3640,20819,2160,1207,590,296
,2018,3299,21125,2234,838,104,187
,2017,3087,20774,2220,973,119,156
,2016,2937,21212,2357,1005,135,105
,2015,2883,21610,2183,834,83,66
LASSEN,2020,1583,9479,1153,411,388,279
,2019,1529,9300,1023,473,268,61
,2018,1234,9559,933,300,21,37
,2017,1132,9656,915,352,20,28
,2016,1157,9719,836,351,13,22
,2015,1079,9790,863,305,12,14
LOS ANGELES,2020,187370,1564339,137436,37210,12902,76811
,2019,196648,1549794,141861,39507,11974,77250
,2018,180501,1547284,136651,33759,9584,84014
,2017,185185,1539221,138545,32654,10420,87909
,2016,185576,1532853,139568,34548,11774,90641
,2015,185274,1521180,138080,36723,12356,93519
MADERA,2020,5661,32350,3811,1307,1133,1007
,2019,6345,30948,3628,1689,914,242
,2018,4785,31239,3210,887,97,146
,2017,4343,31217,3409,885,84,106
,2016,4307,31230,3220,903,56,92
,2015,3799,31333,2973,1051,76,56
MARIN,2020,6533,64515,5110,1253,435,562
,2019,6221,64009,5010,1172,310,380
,2018,6046,64179,4823,1055,75,361
,2017,6023,64237,4726,1146,69,356
,2016,6527,63399,4622,1744,71,359
,2015,6504,63615,4929,1618,69,333
MARIPOSA,2020,803,4834,550,331,794,713
,2019,996,4745,457,449,606,228
,2018,539,4929,346,153,91,123
,2017,424,4884,329,168,69,91
,2016,464,4992,361,192,47,71
,2015,407,5183,403,176,46,52
MENDOCINO,2020,3081,23025,2028,874,743,610
,2019,3301,22428,1866,1120,512,240
,2018,2660,22931,1883,690,108,125
,2017,2440,22727,1803,690,79,84
,2016,2451,22935,1764,838,64,49
,2015,2708,22730,1773,913,29,42
MERCED,2020,8345,54285,5899,1315,22,44
,2019,8287,53146,5720,1086,19,37
,2018,8016,51966,5526,1166,12,45
,2017,7731,51167,5659,1412,10,50
,2016,7483,50873,5479,1351,22,40
,2015,6865,50221,5228,1329,25,37
MODOC,2020,340,2245,270,72,8,18
,2019,336,2238,266,73,5,18
,2018,277,2266,182,68,10,16
,2017,234,2234,198,95,8,12
,2016,212,2307,146,66,3,10
,2015,224,2292,172,73,2,9
MONO,2020,637,4506,479,129,142,256
,2019,578,4384,364,148,128,161
,2018,366,4461,274,75,56,102
,2017,395,4434,333,107,38,82
,2016,381,4508,329,107,37,58
,2015,319,4613,318,105,22,45
MONTEREY,2020,9250,80809,7052,1892,947,861
,2019,9288,79552,6762,1644,661,341
,2018,8621,79360,6484,1507,137,234
,2017,8531,79234,6604,1535,135,179
,2016,8900,78516,6556,2099,104,138
,2015,8449,78371,6393,1777,85,95
NAPA,2020,3780,35638,3106,637,395,275
,2019,4050,35113,3074,695,250,86
,2018,3971,35324,3324,594,32,74
,2017,3824,35273,2953,784,28,64
,2016,3726,35254,2952,725,41,46
,2015,3743,35147,2919,703,41,31
NEVADA,2020,9215,35103,5387,3224,5497,5812
,2019,10896,31777,4334,5324,5983,624
,2018,4232,36536,3155,1164,471,272
,2017,3471,37699,3061,881,176,168
,2016,3838,37885,3092,1019,110,125
,2015,3764,38577,3218,1307,92,85
ORANGE,2020,73303,552053,56290,12176,1354,2600
,2019,74852,546200,55321,13270,1157,2104
,2018,68976,545026,52555,10443,597,2013
,2017,69087,541020,53461,9727,644,1907
,2016,69329,537262,54508,10534,680,1789
,2015,67250,533604,52063,11136,654,1619
PLACER,2020,22194,117976,15259,4791,4122,3927
,2019,21589,114707,14068,4496,3896,547
,2018,17652,115534,13349,2572,405,252
,2017,17025,115611,13402,2233,154,164
,2016,16437,114280,12975,2253,108,125
,2015,16015,112696,12477,2625,91,74
PLUMAS,2020,1144,7536,788,307,610,501
,2019,1285,7195,668,483,469,93
,2018,940,7548,671,243,35,57
,2017,781,7702,688,277,31,44
,2016,745,7858,649,260,26,29
,2015,733,8027,603,235,19,15
RIVERSIDE,2020,103424,529413,73556,20986,3617,5344
,2019,109687,513430,69972,28580,2753,3944
,2018,90014,522322,68358,14769,1385,3518
,2017,91059,511390,67645,14745,1471,3126
,2016,89840,507302,67817,16364,1534,2780
,2015,85557,501483,63256,15784,1394,2436
SACRAMENTO,2020,53815,358462,41402,8073,187,314
,2019,53005,352702,40150,6764,156,316
,2018,53860,349444,41778,7764,126,375
,2017,53918,349160,42595,8561,106,392
,2016,52907,346607,41055,8793,92,429
,2015,51026,341963,38932,9432,101,474
SAN BENITO,2020,2195,13490,1378,266,57,29
,2019,2094,12898,1305,213,20,13
,2018,1972,12401,1223,205,5,8
,2017,1751,12057,1126,221,3,8
,2016,1526,11784,1068,199,10,5
,2015,1495,11558,1102,190,3,3
SAN BERNARDINO,2020,75168,446351,53606,16690,10860,20338
,2019,84058,431216,52532,23288,13135,11199
,2018,67000,435817,49096,12644,3754,9262
,2017,68112,432073,50261,12818,3557,8212
,2016,65294,432668,49896,12913,3453,7208
,2015,63013,430628,47974,13234,3340,6038
SAN DIEGO,2020,82950,609155,62613,18594,4381,7292
,2019,90395,598522,62904,26476,4004,4745
,2018,74351,607889,57251,13649,1127,4258
,2017,75157,605826,59171,12106,1109,4062
,2016,74704,604458,58263,13691,1131,3838
,2015,73096,600206,56127,13738,1242,3429
SAN FRANCISCO,2020,10720,118274,8963,1649,49,325
,2019,10646,117360,9225,1483,53,362
,2018,10207,117321,8494,1335,51,408
,2017,10556,117054,8784,1543,55,424
,2016,10519,116405,8490,1889,51,447
,2015,10847,115883,8949,1931,41,473
SAN JOAQUIN,2020,25328,161584,18295,4337,92,408
